Iteration,Accuracy,Player 1 Wins,Player 2 Wins,Nobody Wins
0,0.4,11,4,10
1,0.622,9,14,2
2,0.556,5,13,7
3,0.711,3,14,8
4,0.622,0,16,9
5,0.533,0,11,14
6,0.711,1,10,14
7,0.667,1,8,16
8,0.622,5,9,11
9,0.578,6,10,9
10,0.733,6,7,12
11,0.689,5,11,9
12,0.733,5,12,8
13,0.6,3,13,9
14,0.489,1,15,9
15,0.6,4,14,7
16,0.578,5,17,3
17,0.578,2,17,6
18,0.622,4,17,4
19,0.556,4,18,3
20,0.711,3,12,10
21,0.533,1,14,10
22,0.578,2,11,12
23,0.467,1,16,8
24,0.667,7,9,9
25,0.644,3,15,7
26,0.667,5,14,6
27,0.756,5,6,14
28,0.533,3,16,6
29,0.578,3,18,4
30,0.711,8,11,6
31,0.667,5,14,6
32,0.644,4,17,4
33,0.733,3,19,3
34,0.689,2,19,4
35,0.644,3,20,2
36,0.667,1,19,5
37,0.556,3,17,5
38,0.6,4,16,5
39,0.667,4,18,3
40,0.756,1,23,1
41,0.6,0,22,3
42,0.756,3,19,3
43,0.622,7,12,6
44,0.511,3,14,8
45,0.6,8,13,4
46,0.556,3,19,3
47,0.533,4,18,3
48,0.644,6,15,4
49,0.667,6,14,5
50,0.711,2,16,7
51,0.644,5,17,3
52,0.733,5,12,8
53,0.556,3,16,6
54,0.756,1,18,6
55,0.689,4,15,6
56,0.511,4,15,6
57,0.533,5,15,5
58,0.489,1,20,4
59,0.489,3,17,5
60,0.6,2,16,7
61,0.556,0,16,9
62,0.622,0,14,11
63,0.622,1,13,11
64,0.667,4,15,6
65,0.6,1,18,6
66,0.511,3,19,3
67,0.533,0,15,10
68,0.667,2,18,5
69,0.511,7,12,6
70,0.6,5,14,6
71,0.733,3,9,13
72,0.733,5,10,10
73,0.689,4,12,9
74,0.644,6,10,9
75,0.689,4,14,7
76,0.689,1,19,5
77,0.711,3,15,7
78,0.6,3,15,7
79,0.822,5,14,6
80,0.578,1,12,12
81,0.622,5,17,3
82,0.644,3,18,4
83,0.689,7,16,2
84,0.689,9,11,5
85,0.667,5,17,3
86,0.689,6,16,3
87,0.644,5,16,4
88,0.622,7,16,2
89,0.6,6,18,1
90,0.756,2,17,6
91,0.533,7,15,3
92,0.533,8,14,3
93,0.6,5,15,5
94,0.711,6,16,3
95,0.667,8,11,6
96,0.511,10,13,2
97,0.756,11,10,4
98,0.622,8,12,5
99,0.733,7,16,2
